Tweet,Location,Date
"b'Coronavirus:-\nMore than 89000 affected world wide with over 3000 deaths.                 So far 5 African countries have confirmed reported cases of corona virus. This are Nigeria, Egypt, Algeria, Angola and Senegal. Kenya should be extremely vigilant'",,2020-03-02 18:23:57
b'At first I thought some ppl who carried the Corona Virus might have gotten their way into Nigeria and other African countries judging from our usual laxity.\n\nIt\xe2\x80\x99s been weeks now and theirs no news of any strange deaths in any African country.\n\nThis feels like a miracle/mystery \xf0\x9f\x98\x95',,2020-03-02 18:22:32
"b""I don't believe Corona. Virus is in Nigeria..... \n\nGive it a second thought #COVID19 #coronavirusinlagos #CoronaOutbreak""",Nigeria 🇳🇬,2020-03-02 18:17:10
"b""Lmao\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\nSomeone said the corona virus won't last in Africa because it's China made\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\nThat nothing China-made last in Nigeria\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\nHow do you people think sef\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\n#MadeInLagos \n#COVID19 \n#CoronaOutbreak \n#coronavirusnigeria \n#coronavirusinlagos""",,2020-03-02 18:13:01
b'@AbbaJidda1 @BashirAhmaad @DokunOjomo We pray against Corona virus not to affect Nigeria\n\nAameen  ..',,2020-03-02 18:11:31
b'@Alanishotit Whenever FG declares Nigeria is free from the corona virus.',,2020-03-02 18:11:15
"b'Corona virus:\n\nLikely to become a bigger problem in days and weeks - Boris Johnson British PM\n\nRisk raised from moderate to high - EU\n\nsignificant outbreak of coronavirus is now likely - Nicola Sturgeon, Scottish 1st Minister \n\nNo need to Panic - Maj Gen Buhari, President Nigeria https://t.co/IOht69XJOR'","Daura, Nigeria",2020-03-02 18:00:21
"b""Conversation between Corona virus and it's mother after entering Nigeria \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 our people are special set of unserious human \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 @paki_yusuf @TheABaffa @__usyy @hauwa_farouk @___FAREED @Asserdiq @TheABaffa @MFaarees_ @Haidaer__  #CoronaVirusUpdate #COVID19 #Covid_19 https://t.co/BvHRykZQbB""","Kano, Nigeria",2020-03-02 18:00:06
"b'Nigeria don found ellusive cure for corona virus, this must be yet another Abalaka cant.'",,2020-03-02 17:58:57
"b""@thecableng @GarShehu Askies sir don't you think 266 dying daily which totals to over 97000 souls lost to a single disease in a year is more deadly than Corona virus and deserve more attention from the media. Malaria according to your findings is more deadly than corona virus in Nigeria.""",,2020-03-02 17:56:17
"b""Could #COVID19 not actually be in Nigeria? Can anyone actually testify to this thing? And I don't mean influencers who could be in on it for money too\n\nI think there is corona virus in Lagos but I wouldn't be shocked if politicians just need some extra cash. https://t.co/lY3D83HOs2""",Abuja,2020-03-02 17:45:46
"b""@LagosTalks913  Someone said The problem with this Corona virus in Nigeria, is that the Minister for Health studied \xe2\x80\x9cECONOMICS' #itsokaywithokey\n\n\xf0\x9f\x99\x86\xe2\x80\x8d\xe2\x99\x82\xf0\x9f\x99\x86""",Nigeria,2020-03-02 17:45:10
b'No one will die of corona virus in Nigeria. I say  no Nigerian will die',,2020-03-02 17:41:19
b'@CaptainArinze I said this to someone freaking out in a joint on friday. I believe corona virus had been in Nigeria since and some doctors for don give us malaria and b complex',Nigeria,2020-03-02 17:41:04
b'I will be live on Talking point \n@Livingproof radio tomorrow to enlighten the public about the #Covid_19 popularly known as corona virus. What you know or have heard about corona virus may not be what it is...Join me tomorrow by 4pm-6pm...\n\n1/2\n \n#CoronaOutbreak \n#Nigeria \n#DINO https://t.co/uMkb6ISwjc',Lagos,2020-03-02 17:37:02
b'Address by Governor Fayemi To Ekiti People On The Spread Of Corona Virus To\xc2\xa0Nigeria https://t.co/1PIspyw2o4 https://t.co/fnH9cYHJhO',"Federal Capital Territory, Nigeria",2020-03-02 17:30:53
b'Address by Governor Fayemi To Ekiti People On The Spread Of Corona Virus To\xc2\xa0Nigeria https://t.co/A0COlv5GkQ https://t.co/903IRPXd74',"Enugu, Nigeria",2020-03-02 17:30:52
b'Address by Governor Fayemi To Ekiti People On The Spread Of Corona Virus To\xc2\xa0Nigeria https://t.co/VmVA61cIwa https://t.co/Aok8ofVrAh',"Abuja, Nigeria",2020-03-02 17:30:51
"b""There's nothing like Corona Virus outbreak in Nigeria. These niggas want to embezzle funds.""",🇳✴,2020-03-02 17:29:38
"b'Following the out break of Corona virus in Lagos Nigeria, I call on those in authority of NYSC to stop the camping move of batch A 2020 corp Members till further notice to avoid putting more people to harm.'","Makurdi, Nigeria",2020-03-02 17:27:48
b'The person they said brought corona virus to Nigeria.\nWas he the only one on the plane?\nOthers nko?',"Ibadan, Nigeria",2020-03-02 17:27:13
b'All the breweries and distilleries in #NIGERIA should help produce one free and washing liquid for us.\nFree beer and gin to fight Corona virus now that shop have inflated the price of hand sanitizer.',Nigeria / Ghana,2020-03-02 17:26:41
"b'Shout out to our heroes at the warfront of corona virus,\n\nTo every medical personnel at the quarantine center\n\n""Thank you for this selfless act of life saving. We pray the Lord bless you and uphold your families.""\n\nNigeria is indebted to you\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'",Somewhere in Nigeria,2020-03-02 17:21:53
"b'GOOD MORNING NIGERIA ON MONDAY MARCH 2, 2020 WILL EXAMINE TWO TOPICS.\n1)CORONA VIRUS IN NIGERIA.\n2)ABOLITION OF ESTIMATED ELECTRICITY BILLING,HOW FEASIBLE WITH THE SCARCITY OF PRE PAID METRES?\nPLEASE JOIN THE CONVERSATION.'","Abuja, Nigeria 🇳🇬 ",2020-03-02 17:19:39
b'Do you know that Corona virus is in Nigeria \xf0\x9f\x99\x84\xf0\x9f\x99\x84 https://t.co/rDHcRPEfvJ',"Delta, Nigeria",2020-03-02 17:18:09
"b'Lagos and Nigeria now must wait for those over 100 people who were in the flight with the Italian Corona virus patient. The next two weeks will truly define how we totally fight this. \nYes, we can.'","Lagos, Nigeria",2020-03-02 17:11:59
b'Any smart producer of Diapers or Pampers should look into the production of Face-Masks. Corona-virus is here to stay...\n\nAnd Nigeria is 200Million in human numbers. Do the maths. Thank me later!\n\n#CoronaVirus #COVID19',"Here, There and Everywhere...",2020-03-02 17:07:46
b'Lee has been searching \xe2\x80\x9cCorona virus nigeria\xe2\x80\x9d since morning. Help me',,2020-03-02 17:02:35
b'@Fred_gen2 Patient with Corona Virus in Lagos was Tested Negative after he charged nigeria 100million naira for his family or else he spreads it\xf0\x9f\x92\x81\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',,2020-03-02 16:57:31
"b'God will help Nigeria  to get out of corona virus but precautionary measures must be put in place to avoid reoccurrence, like banning affected countries aircraft from coming and going out of the country #fightcovid19'",,2020-03-02 16:54:04
b'@tvcnewsng President Buhari should not allow any foreign nationals which this corona virus had surfaced in their countries to come to Nigeria again. #JH',"Pro, Lagos, Nigeria. ",2020-03-02 16:51:19
"b""Moral of this story?\nNow that a case of Corona Virus has been reported in Nigeria, don't just jump to conclusion if you experience some of the symptoms. It might just be flu.\nDon't self diagnose.\nIf you're sneezing /coughing, isolate yourself and use a mask in public spaces.""",In motion,2020-03-02 16:50:26
"b'No update on Nigeria Corona Virus yet? \n\nPlease for public consumption, it\xe2\x80\x99s important to give up-to-date report on the current situation of things'","Lagos, Nigeria",2020-03-02 16:48:36
"b'Protect yourselves.\nCampaign against corona virus\n#corona #Nigeria @ Maryland, Lagos, Nigeria https://t.co/BN09lJMVxY'",Anywhere,2020-03-02 16:42:45
b'This hot weather/heat period in Nigeria can kill any virus hands down...even corona virus',Lagos Nigeria,2020-03-02 16:38:29
b'Did you know that the info about there being a corona virus situation in Nigeria was false? https://t.co/DtYFo60m8M',,2020-03-02 16:30:27
b'SARS has killed more people than Corona Virus in Nigeria....',"Benin-City, Nigeria",2020-03-02 16:24:30
b'Her: \xe2\x80\x9cI AINT SEEN ONE BLACK PERSON WITH CORONA VIRUS YET... \xe2\x80\x9c\n\nHim: \xe2\x80\x9cthey say 3 people got it in Nigeria \n\nHer: \xe2\x80\x9cWHERE THATS AT?\xe2\x80\x9d \n\nMe https://t.co/fmPiHjCZyE',,2020-03-02 16:23:39
b'@Habibakatsha @banks_4r He is the Italian that entered nigeria with Corona virus',Abuja,2020-03-02 16:15:11
b'What is the name of the Italian that brought the corona virus to Nigeria.....sakamanje atiii suliamanja  \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84  \n\nAudiovirus Audioitalian \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',"Lagos, Nigeria",2020-03-02 16:13:45
