Tweet,Location,Date
b'@spectatorindex @LordLugard001 Why is this Corona virus spreading faster than the gospel of our Lord Jesus Christ? \xf0\x9f\xa4\x94',Nigeria,2020-02-29 22:18:14
"b""@adekunleGOLD What is football without banter. Be reminded that this premier league had been won on three occasions in the last 30 years Liverpool had kept hoping. I hope corona virus don't stop them this season.""","Lagos, Nigeria",2020-02-29 22:17:44
b'@Gideomatic @Tolu_ex This is corona virus speaking',Nigeria,2020-02-29 22:17:42
"b'@AmnestyNigeria @PremiumTimesng Sowore,Aba .... God go help us for this country .as in ,is it a crime to have Buhari as a president . This man is a virus worst than Corona ooo'","Lagos,Nigeria",2020-02-29 22:17:10
"b'Nigeria is an amazing country. Like ""corona virus is on the loose and all, let\'s make sanitizers, face masks etc more expensive and less affordable"".'","Abuja, Nigeria",2020-02-29 22:16:24
b'Haha unbeaten fc\nebi like the spirit and dwarf edey walk plus them Barb corona virus 19 them make weak  pass\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82.',"Accra, Ghana",2020-02-29 22:14:44
b'The biggest blow to @LFC title will be if eventually @premierleague now cancel the league because they wanna combat corona virus....that\xe2\x80\x99s their dream been shattered before their eyes... they will kill if that happens... \n\nMe I will stay in one corner &amp; laugh my ass out~ Big LMAO',"Lagos, Nigeria",2020-02-29 22:12:25
b'@LAGalaxy Corona?? As in the virus??',Ghana,2020-02-29 22:12:10
b'Nigerian comedian already making jokes about Corona virus',Nigeria,2020-02-29 22:11:26
"b""B: my day went well...it went as planned. Got up as early as 4am to beat the traffic. Couldn't prepare breakfast, so I had doughnut during break. Attended to some patients, you needed to see how people were panicking at the hospital, the fear of corona virus... Lol""","Lagos, Nigeria",2020-02-29 22:11:17
"b""Anything made in China doesn't last long... God Corona virus will not last a week in Nigeria IJN.""","Minna, Nigeria",2020-02-29 22:10:07
"b'@SobolaAbiola1 @Gen_Buhar Whether am a wailer or praiser is immaterial now.\n\nMy point is irrespective of your colour, religion or political beliefs,so far you are a Nigerian, we must all be UNITED to fight the monster called Corona Virus.\n\nSIMPLE'",Lagos Nigeria,2020-02-29 22:08:45
b'@ShehuSani This issue of corona virus is getting hurt this days may protect us ameen',"Kaduna, Nigeria",2020-02-29 22:08:41
b'Can your President even properly pronounce Corona Virus? Tweh @oluwaloninyo @realFFK @FemAdesina https://t.co/RjwWY0QB3Q',"Lagos, Nigeria",2020-02-29 22:07:20
b'@the_davidatta One state like that will just pour kerosene on the ground to prevent corona virus from coming in',Kaduna,2020-02-29 22:04:55
b'Why we d even act like say d problem weh we get for dis country no pass #Corona virus\nThis country an hell wetin be the different?\nArea oya make una tell mi',None 🚫Challenge Arinal,2020-02-29 22:04:53
"b""\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 maybe he'll go and beg China for Corona Virus loan like he did begging for money for infrastructure in Nigeria https://t.co/uny9XVIKjq""","Lagos, NIGERIA.",2020-02-29 22:04:36
b'@HENT6l Wait. Corona is a man made virus??',"Port Harcourt, Nigeria",2020-02-29 22:04:35
b'@JamesNdu_ \nWho are we blaming for the Corona Virus in Lagos?',NIGERIA,2020-02-29 22:03:44
"b""Lmao just heard that any student that's coming back tomorrow will be taken for test because of Corona virus and that also means that if you've taken any kind of drugs they'll be able to detect it \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80""",Nigeria,2020-02-29 22:03:28
